state,census,base,2010,2011,2012
AL,4779736,4779745,4784762,4803689,4822023
AK,710231,710231,714046,723860,731449
AZ,6392017,6392015,6410810,6467315,6553255
AR,2915918,2915919,2922750,2938582,2949131
CA,37253956,37253956,37334410,37683933,38041430
CO,5029196,5029196,5048472,5116302,5187582
CT,3574097,3574097,3576616,3586717,3590347
DE,897934,897934,899824,908137,917092
DC,601723,601723,604989,619020,632323
FL,18801310,18802690,18845967,19082262,19317568
GA,9687653,9687663,9714748,9812460,9919945
HI,1360301,1360301,1364274,1378129,1392313
ID,1567582,1567652,1570784,1583744,1595728
IL,12830632,12830632,12840459,12859752,12875255
IN,6483802,6483800,6489856,6516353,6537334
IA,3046355,3046857,3050321,3064097,3074186
KS,2853118,2853116,2858837,2870386,2885905
KY,4339367,4339357,4346655,4366814,4380415
LA,4533372,4533372,4544125,4574766,4601893
ME,1328361,1328361,1327585,1328544,1329192
MD,5773552,5773552,5787998,5839572,5884563
MA,6547629,6547629,6563259,6607003,6646144
MI,9883640,9883635,9877670,9876801,9883360
MN,5303925,5303925,5310737,5347299,5379139
MS,2967297,2967299,2969137,2977457,2984926
MO,5988927,5988924,5996092,6008984,6021988
MT,989415,989417,990735,997667,1005141
NE,1826341,1826341,1829696,1842234,1855525
NV,2700551,2700552,2703758,2720028,2758931
NH,1316470,1316469,1316843,1317807,1320718
NJ,8791894,8791898,8803388,8834773,8864590
NM,2059179,2059180,2064767,2078674,2085538
NY,19378102,19378104,19399242,19501616,19570261
NC,9535483,9535471,9559048,9651103,9752073
ND,672591,672591,674363,684740,699628
OH,11536504,11536502,11538290,11541007,11544225
OK,3751351,3751354,3759482,3784163,3814820
OR,3831074,3831073,3838212,3868229,3899353
PA,12702379,12702379,12711308,12743948,12763536
RI,1052567,1052567,1052769,1050646,1050292
SC,4625364,4625364,4635835,4673348,4723723
SD,814180,814180,816223,823593,833354
TN,6346105,6346113,6356673,6399787,6456243
TX,25145561,25145561,25242683,25631778,26059203
UT,2763885,2763885,2775093,2814347,2855287
VT,625741,625741,625916,626592,626011
VA,8001024,8001031,8025105,8104384,8185867
WA,6724540,6724543,6743636,6823267,6897012
WV,1852994,1852999,1854019,1854908,1855413
WI,5686986,5686986,5689591,5709843,5726398
WY,563626,563626,564367,567356,576412
